№,приоритет,решение,аккаунт,канал,направление,запрос клиента,бюджет,отклики,конкуренция,часы,грязная ставка руб/час,почему нам подходит,что сделать,что написать клиенту,что показать или собрать,риск,источник,ссылка,долг
57,70,LOSE,Влад,аккаунт Влада,Смешанные бизнес-задачи,100 холодных звонков по базе владельцев бизнеса,9 000 руб.,1,низкая,12,750,"Нужна ручная проверка, потому что направление не попало в главный канон. Сырье: Продажи есть, но работа телефонного оператора | Продажи есть, но работа телефонного оператора | buyer_orders=8; hire_percent=43; risk=Не тот формат, низкая ставка; action=Можно предложить скрипт звонка, сегментацию, таблицу статусов","Сначала уточнить объем, результат, приемку, срок и доступы.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""100 холодных звонков по базе владельцев бизнеса"" я бы начал с короткого разбора: Сначала уточнить объем, результат, приемку, срок и доступы. На выходе дам проверяемый результат: Один обезличенный пример результата. Для точной оценки пришлите: исходные данные, пример результата, срок, критерии приемки.",Один обезличенный пример результата.,высокий,старый реестр,https://kwork.ru/projects/3198066,ПРОВЕРИТЬ свежесть и источник
71,70,"брать, если есть формулы, сверка или автоматизация",Настя + Влад,"аккаунт Насти, Влад помогает с техникой",Excel и таблицы,"Рутина интернет-магазина: товары, таблицы, нейросети",1 500 руб.,1,низкая,2,750,"Брать не ручной ввод, а таблицы со смыслом: формулы, сводные, склейка файлов, контроль статусов, CRM, 1С, макросы или веб-хук. Сырье: Совпадает с аккуратной рутиной, таблицами, карточками | Совпадает с аккуратной рутиной, таблицами, карточками | buyer_orders=32; hire_percent=56; risk=Очень низкий чек; action=Брать только тестом 1-2 часа, не обещать долгую ручную рутину","Попросить файл до, пример результата и правило расчета. Начинать с одного листа или 20 строк.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Рутина интернет-магазина: товары, таблицы, нейросети"" я бы начал с короткого разбора: Попросить файл до, пример результата и правило расчета. Начинать с одного листа или 20 строк. На выходе дам проверяемый результат: Демо таблица: исходник, формулы, сводная, проверка ошибок, лист с инструкцией. Для точной оценки пришлите: исходные файлы, пример результата, правила расчета, частота обновления.","Демо таблица: исходник, формулы, сводная, проверка ошибок, лист с инструкцией.",низкий,старый реестр,https://kwork.ru/projects/3198105,ПРОВЕРИТЬ свежесть и источник
73,70,TAKE_IF_PLUGIN,Влад,аккаунт Влада,"сайт, WordPress, SEO",Синхронизация календаря бронирования WordPress,9 000 руб.,1,низкая,6,1 500,"Не конкурировать с разработчиками по всему сайту. Брать размещение, структуру, карточки, SEO-поля и мелкие правки. Сырье: WordPress + постановка ТЗ + календарь | WordPress + постановка ТЗ + календарь | buyer_orders=4; hire_percent=0; risk=Риск нестандартного плагина/хостинга; action=Попросить сайт, плагин, пример желаемого календаря, доступ staging","Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Синхронизация календаря бронирования WordPress"" я бы начал с короткого разбора: Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description. На выходе дам проверяемый результат: Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации. Для точной оценки пришлите: доступ, пример страницы, текст, картинки, SEO-поля, запреты.","Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации.",средний,старый реестр,https://kwork.ru/projects/3195288,ПРОВЕРИТЬ свежесть и источник
75,70,TAKE_FAST,Настя,аккаунт Насти,"сайт, WordPress, SEO",Публикация карточек товара на досках объявлений,3 000 руб.,1,низкая,3,1 000,"Не конкурировать с разработчиками по всему сайту. Брать размещение, структуру, карточки, SEO-поля и мелкие правки. Сырье: Карточки, интернет-магазин, аккуратная публикация | Карточки, интернет-магазин, аккуратная публикация | buyer_orders=1002; hire_percent=37; risk=Рутина и возможные правила площадок; action=Брать как тест: 10 карточек, чек-лист полей, отчет о публикациях","Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Публикация карточек товара на досках объявлений"" я бы начал с короткого разбора: Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description. На выходе дам проверяемый результат: Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации. Для точной оценки пришлите: доступ, пример страницы, текст, картинки, SEO-поля, запреты.","Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации.",низкий,старый реестр,https://kwork.ru/projects/3197908,ПРОВЕРИТЬ свежесть и источник
77,70,брать точечно,Влад,аккаунт Влада,"сайт, WordPress, SEO",Восстановить WordPress сайт из вебархива,6 000 руб.,1,низкая,6,1 000,"Не конкурировать с разработчиками по всему сайту. Брать размещение, структуру, карточки, SEO-поля и мелкие правки. Сырье: Можно попробовать как восстановление контента/структуры | Можно попробовать как восстановление контента/структуры | buyer_orders=11; hire_percent=33; risk=Полное восстановление дизайна может быть шире; action=Взять только после просмотра вебархива и объема страниц","Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Восстановить WordPress сайт из вебархива"" я бы начал с короткого разбора: Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description. На выходе дам проверяемый результат: Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации. Для точной оценки пришлите: доступ, пример страницы, текст, картинки, SEO-поля, запреты.","Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации.",средний,старый реестр,https://kwork.ru/projects/3198051,ПРОВЕРИТЬ свежесть и источник
63,70,TAKE_AS_TZ_ONLY,Влад,аккаунт Влада,"ТЗ, структура, Гант",ТЗ на проектирование бани,7 000 руб.,2,низкая,4,1 750,"Влад может взять хаос и превратить в ТЗ, матрицу требований, вопросы, этапы и Гант без инженерной ответственности. Сырье: Можно собрать ТЗ, вопросы, чек-лист исходных данных","Собрать исходные данные, ограничения, этапы, зависимости, вопросы и критерии приемки.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""ТЗ на проектирование бани"" я бы начал с короткого разбора: Собрать исходные данные, ограничения, этапы, зависимости, вопросы и критерии приемки. На выходе дам проверяемый результат: Матрица требований, Гант, список вопросов исполнителю, критерии приемки. Для точной оценки пришлите: цель, текущие материалы, сроки, бюджет, ограничения, кто принимает.","Матрица требований, Гант, список вопросов исполнителю, критерии приемки.",низкий,старый реестр,spouse_kwork/assets/kwork_request_screenshots/10_bathhouse_technical_spec.png,ПРОВЕРИТЬ свежесть и источник
47,70,брать точечно,Настя + Влад,"аккаунт Насти, Влад помогает с техникой","1С, учет, ОСВ, акты",Интеграция сайта на 1С-Битрикс и 1С,10 000 руб.,3,низкая,10,1 000,"Есть сильный бытовой и рабочий контекст: 1С, ОСВ, акты сверки, дебиторка, кредиторка, УПД, счета, налоги. Сырье: Интеграционная логика близка, но 1С-Битрикс глубже | Интеграционная логика близка, но 1С-Битрикс глубже | buyer_orders=29; hire_percent=50; risk=Риск старого модуля и чужой 1С; action=Брать только диагностику и ТЗ на восстановление обмена","Попросить выгрузку, период, счет, контрагента, версию 1С и проблему словами. Делать таблицу расхождений, не гадать по скриншоту.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Интеграция сайта на 1С-Битрикс и 1С"" я бы начал с короткого разбора: Попросить выгрузку, период, счет, контрагента, версию 1С и проблему словами. Делать таблицу расхождений, не гадать по скриншоту. На выходе дам проверяемый результат: Обезличенная ОСВ 62, акт сверки, таблица кто кому сколько и по каким документам. Для точной оценки пришлите: выгрузка, период, счет, контрагент, версия 1С, что именно не сходится.","Обезличенная ОСВ 62, акт сверки, таблица кто кому сколько и по каким документам.",средний,старый реестр,https://kwork.ru/projects/2503131,ПРОВЕРИТЬ свежесть и источник
61,70,TAKE_WITH_SCOPE,Влад,аккаунт Влада,Смешанные бизнес-задачи,HTML-страница с аналитическими данными,15 000 руб.,4,низкая,10,1 500,"Нужна ручная проверка, потому что направление не попало в главный канон. Сырье: Влад может собрать HTML/дашборд/структуру метрик | Влад может собрать HTML/дашборд/структуру метрик | buyer_orders=382; hire_percent=90; risk=Требуется уточнение интеграции с Битрикс; action=Сначала макет данных, затем статическая HTML-страница и список API-долга","Сначала уточнить объем, результат, приемку, срок и доступы.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""HTML-страница с аналитическими данными"" я бы начал с короткого разбора: Сначала уточнить объем, результат, приемку, срок и доступы. На выходе дам проверяемый результат: Один обезличенный пример результата. Для точной оценки пришлите: исходные данные, пример результата, срок, критерии приемки.",Один обезличенный пример результата.,низкий,старый реестр,https://kwork.ru/projects/3197546,ПРОВЕРИТЬ свежесть и источник
70,70,TAKE_TEST,Влад,аккаунт Влада,"бизнес-клиенты, КП, лиды",Поиск 5 клиентов,10 000 руб.,5,низкая,4,2 500,"Влад силен не в копирайтинге ради текста, а в логике сделки: кому продаем, почему поверят, какой следующий шаг. Сырье: Проверка ICP и базы клиентов","Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Поиск 5 клиентов"" я бы начал с короткого разбора: Собрать ICP, тестовую базу 20 строк, источник, статус проверки и текст первого касания. На выходе дам проверяемый результат: Демо база 20 строк, структура КП, пример первого сообщения. Для точной оценки пришлите: кому продаем, география, запреты, признаки клиента, нужные контакты.","Демо база 20 строк, структура КП, пример первого сообщения.",высокий,старый реестр,spouse_kwork/assets/kwork_request_screenshots/02_client_search.png,ПРОВЕРИТЬ свежесть и источник
45,68,не наш профиль,не наш профиль,не выходить без проверки,"сайт, WordPress, SEO",Провести SEO-аудит и подготовить план,15 000-45 000 руб.,32,высокая,6,5 000,"Не конкурировать с разработчиками по всему сайту. Брать размещение, структуру, карточки, SEO-поля и мелкие правки. Сырье: не наша ниша","Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Провести SEO-аудит и подготовить план"" я бы начал с короткого разбора: Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description. На выходе дам проверяемый результат: Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации. Для точной оценки пришлите: доступ, пример страницы, текст, картинки, SEO-поля, запреты.","Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации.",низкий,живой слой,https://kwork.ru/projects/3197965,
27,66,только платный разбор,Влад,аккаунт Влада,"ИИ, боты, CRM",AI бот для MAX и TG + интеграция платёжной системы,50 000-150 000 руб.,92,красный океан,24,4 167,"Брать только как управляемый процесс: аудит, схема, один сценарий, тесты, затем оценка. Сырье: крупный AI-бот высокий спрос","Предлагать только первый этап: платный разбор, схема, вопросы, оценка. Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""AI бот для MAX и TG + интеграция платёжной системы"" я бы начал с короткого разбора: Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария. На выходе дам проверяемый результат: Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт. Для точной оценки пришлите: каналы заявок, CRM, 5-10 примеров, желаемый статус, ограничения доступов.","Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт.",средний,живой слой,https://kwork.ru/projects/3197238,
78,60,TAKE_TEST,Настя,аккаунт Насти,"сайт, WordPress, SEO",Фото и описания для карточек товаров,6 000 руб.,6,средняя,5,1 200,"Не конкурировать с разработчиками по всему сайту. Брать размещение, структуру, карточки, SEO-поля и мелкие правки. Сырье: Товарные карточки, фото, описания, прайс","Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Фото и описания для карточек товаров"" я бы начал с короткого разбора: Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description. На выходе дам проверяемый результат: Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации. Для точной оценки пришлите: доступ, пример страницы, текст, картинки, SEO-поля, запреты.","Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации.",средний,старый реестр,spouse_kwork/assets/kwork_request_screenshots/05_product_photos_cards.png,ПРОВЕРИТЬ свежесть и источник
64,60,TAKE_FAST,Влад,аккаунт Влада,"ТЗ, структура, Гант",XMind схема по географии и путешествиям,5 000 руб.,10,средняя,4,1 250,"Влад может взять хаос и превратить в ТЗ, матрицу требований, вопросы, этапы и Гант без инженерной ответственности. Сырье: Структурирование, mind map, инструкция","Собрать исходные данные, ограничения, этапы, зависимости, вопросы и критерии приемки.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""XMind схема по географии и путешествиям"" я бы начал с короткого разбора: Собрать исходные данные, ограничения, этапы, зависимости, вопросы и критерии приемки. На выходе дам проверяемый результат: Матрица требований, Гант, список вопросов исполнителю, критерии приемки. Для точной оценки пришлите: цель, текущие материалы, сроки, бюджет, ограничения, кто принимает.","Матрица требований, Гант, список вопросов исполнителю, критерии приемки.",низкий,старый реестр,spouse_kwork/assets/kwork_request_screenshots/08_xmind_geography_travel.png,ПРОВЕРИТЬ свежесть и источник
52,60,TAKE_WITH_BOUNDARY,Настя,аккаунт Насти,"Документы, договоры, заявки",Спор с банком или МФО для ИП/ООО,5 000 руб.,13,средняя,5,1 000,"Сильная зона Насти: договоры поставки, ИТ-договоры, протоколы разногласий, трехсторонние договоры, УФАС, МСП, АНО. Сырье: Договор, начисления, позиция, таблица спора","Разобрать документы в таблицу: пункт, риск, что просим заменить, почему, что спросить до подписи.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Спор с банком или МФО для ИП/ООО"" я бы начал с короткого разбора: Разобрать документы в таблицу: пункт, риск, что просим заменить, почему, что спросить до подписи. На выходе дам проверяемый результат: Протокол разногласий и таблица рисков по обезличенному договору. Для точной оценки пришлите: договор, приложения, счет, акт, цель правки, красные пункты.",Протокол разногласий и таблица рисков по обезличенному договору.,средний,старый реестр,spouse_kwork/assets/kwork_request_screenshots/15_bank_mfo_legal_dispute.png,ПРОВЕРИТЬ свежесть и источник
79,60,LOSE_LOW_CHECK,Настя,аккаунт Насти,"сайт, WordPress, SEO",Разместить 10 готовых статей на WordPress,1 000 руб.,14,средняя,3,333,"Не конкурировать с разработчиками по всему сайту. Брать размещение, структуру, карточки, SEO-поля и мелкие правки. Сырье: Задача понятна, но цена слабая","Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Разместить 10 готовых статей на WordPress"" я бы начал с короткого разбора: Попросить доступ, пример готовой страницы, текст, изображения, SEO-title, description. На выходе дам проверяемый результат: Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации. Для точной оценки пришлите: доступ, пример страницы, текст, картинки, SEO-поля, запреты.","Демо пост WordPress: заголовки, картинка, CTA, SEO-поля, чек-лист публикации.",высокий,старый реестр,spouse_kwork/assets/kwork_request_screenshots/11_wordpress_articles.png,ПРОВЕРИТЬ свежесть и источник
62,60,LOSE_LOW_CHECK,Влад,аккаунт Влада,Смешанные бизнес-задачи,Промпт для Gemini,1 000 руб.,16,средняя,2,500,"Нужна ручная проверка, потому что направление не попало в главный канон. Сырье: Промпты есть, но чек слишком низкий и конкуренция высокая","Сначала уточнить объем, результат, приемку, срок и доступы.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Промпт для Gemini"" я бы начал с короткого разбора: Сначала уточнить объем, результат, приемку, срок и доступы. На выходе дам проверяемый результат: Один обезличенный пример результата. Для точной оценки пришлите: исходные данные, пример результата, срок, критерии приемки.",Один обезличенный пример результата.,высокий,старый реестр,spouse_kwork/assets/kwork_request_screenshots/09_gemini_prompt.png,ПРОВЕРИТЬ свежесть и источник
72,60,"брать, если есть формулы, сверка или автоматизация",Настя + Влад,"аккаунт Насти, Влад помогает с техникой",Excel и таблицы,Google Script для отправки писем с вложениями,3 000 руб.,17,средняя,3,1 000,"Брать не ручной ввод, а таблицы со смыслом: формулы, сводные, склейка файлов, контроль статусов, CRM, 1С, макросы или веб-хук. Сырье: Простая автоматизация, таблицы, файлы, письма | Простая автоматизация, таблицы, файлы, письма | buyer_orders=89; hire_percent=60; risk=Много предложений, нужен быстрый отклик; action=Дать короткий ответ: проверю структуру файлов, сделаю скрипт, тест, инструкцию","Попросить файл до, пример результата и правило расчета. Начинать с одного листа или 20 строк.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Google Script для отправки писем с вложениями"" я бы начал с короткого разбора: Попросить файл до, пример результата и правило расчета. Начинать с одного листа или 20 строк. На выходе дам проверяемый результат: Демо таблица: исходник, формулы, сводная, проверка ошибок, лист с инструкцией. Для точной оценки пришлите: исходные файлы, пример результата, правила расчета, частота обновления.","Демо таблица: исходник, формулы, сводная, проверка ошибок, лист с инструкцией.",низкий,старый реестр,https://kwork.ru/projects/2923776,ПРОВЕРИТЬ свежесть и источник
17,40,брать только с границами,Настя + Влад,"аккаунт Насти, Влад помогает с техникой",Маркетплейсы,Создание контента для маркетплейсов с помощью ИИ,5 000-15 000 руб.,96,красный океан,,,"Брать только данные и структуру: SKU, фото, карточки, описания, признаки товара, не дизайн ради дизайна. Сырье: красный океан ИИ-контент","Начать с 5-10 SKU, сверить фото, артикул, описание, характеристики и источник.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Создание контента для маркетплейсов с помощью ИИ"" я бы начал с короткого разбора: Начать с 5-10 SKU, сверить фото, артикул, описание, характеристики и источник. На выходе дам проверяемый результат: Таблица SKU: фото, артикул, описание, источник, статус, что не хватает. Для точной оценки пришлите: прайс, артикулы, сайт/папка фото, правила названий, площадка.","Таблица SKU: фото, артикул, описание, источник, статус, что не хватает.",средний,живой слой,https://kwork.ru/projects/3197828,
18,40,брать только с границами,Настя + Влад,"аккаунт Насти, Влад помогает с техникой",Маркетплейсы,Карточка товара,2 000-6 000 руб.,125,красный океан,,,"Брать только данные и структуру: SKU, фото, карточки, описания, признаки товара, не дизайн ради дизайна. Сырье: commodity 125 откликов","Начать с 5-10 SKU, сверить фото, артикул, описание, характеристики и источник.","Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Карточка товара"" я бы начал с короткого разбора: Начать с 5-10 SKU, сверить фото, артикул, описание, характеристики и источник. На выходе дам проверяемый результат: Таблица SKU: фото, артикул, описание, источник, статус, что не хватает. Для точной оценки пришлите: прайс, артикулы, сайт/папка фото, правила названий, площадка.","Таблица SKU: фото, артикул, описание, источник, статус, что не хватает.",средний,живой слой,https://kwork.ru/projects/3198518,
7,28,низкий приоритет,Влад,аккаунт Влада,"Python, парсинг, данные",Изучить скрипты Python и устранить ошибки,12 000-36 000 руб.,120,красный океан,8,3 000,"Хорошая зона Влада, если есть четкий источник, формат результата и допустимость сбора. Сырье: много откликов «почини скрипт» | Python, Telegram, API, debug - хорошее направление | buyer_orders=4; hire_percent=100; risk=Нужен доступ к коду и тестовой среде; action=Попросить репозиторий/архив, ошибку, .env.example без секретов, сценарий воспроизведения","Откликаться только если есть 10 минут и понятный объем. Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Изучить скрипты Python и устранить ошибки"" я бы начал с короткого разбора: Начинать с MVP одного источника: CSV, лог ошибок, ограничения, затем масштабирование. На выходе дам проверяемый результат: Мини-парсер, CSV до/после, лог ошибок, README как запускать. Для точной оценки пришлите: источник, пример страницы, поля, частота, формат выгрузки, ограничения.","Мини-парсер, CSV до/после, лог ошибок, README как запускать.",средний,живой слой + старый реестр,https://kwork.ru/projects/3195831,
26,20,низкий приоритет,Влад,аккаунт Влада,"ИИ, боты, CRM",Создать телеграмм бот,500 руб.,87,красный океан,10,50,"Брать только как управляемый процесс: аудит, схема, один сценарий, тесты, затем оценка. Сырье: демпинг 500₽ 87 откликов","Откликаться только если есть 10 минут и понятный объем. Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария.","Здравствуйте. Могу взять, но сначала зафиксирую границы, чтобы не продать вам туман. По запросу ""Создать телеграмм бот"" я бы начал с короткого разбора: Не обещать волшебного бота. Сначала карта процесса, входы, CRM, статусы, прототип одного сценария. На выходе дам проверяемый результат: Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт. Для точной оценки пришлите: каналы заявок, CRM, 5-10 примеров, желаемый статус, ограничения доступов.","Схема процесса, тестовый сценарий, таблица проверок, короткий Codex-промпт.",средний,живой слой,https://kwork.ru/projects/3198201,
34,0,не брать ручной ввод,Настя + Влад,"аккаунт Насти, Влад помогает с техникой",Excel и таблицы,Перепечатать данные из рукописного журнала в Excel,1 000-3 000 руб.,121,красный океан,,,"Брать не ручной ввод, а таблицы со смыслом: формулы, сводные, склейка файлов, контроль статусов, CRM, 1С, макросы или веб-хук. Сырье: ручной ввод - не брать",Не откликаться. Оставить как антипример рынка.,"Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""Перепечатать данные из рукописного журнала в Excel"" я бы начал с короткого разбора: Попросить файл до, пример результата и правило расчета. Начинать с одного листа или 20 строк. На выходе дам проверяемый результат: Демо таблица: исходник, формулы, сводная, проверка ошибок, лист с инструкцией. Для точной оценки пришлите: исходные файлы, пример результата, правила расчета, частота обновления.","Демо таблица: исходник, формулы, сводная, проверка ошибок, лист с инструкцией.",средний,живой слой,https://kwork.ru/projects/3198376,
35,0,не брать ручной ввод,Настя + Влад,"аккаунт Насти, Влад помогает с техникой",Excel и таблицы,PDF в Excel,2 500 руб.,327,красный океан,,,"Брать не ручной ввод, а таблицы со смыслом: формулы, сводные, склейка файлов, контроль статусов, CRM, 1С, макросы или веб-хук. Сырье: 327 откликов commodity",Не откликаться. Оставить как антипример рынка.,"Здравствуйте. Могу разобрать задачу спокойно и по документам, без вида что все понятно по одному скрину. По запросу ""PDF в Excel"" я бы начал с короткого разбора: Попросить файл до, пример результата и правило расчета. Начинать с одного листа или 20 строк. На выходе дам проверяемый результат: Демо таблица: исходник, формулы, сводная, проверка ошибок, лист с инструкцией. Для точной оценки пришлите: исходные файлы, пример результата, правила расчета, частота обновления.","Демо таблица: исходник, формулы, сводная, проверка ошибок, лист с инструкцией.",средний,живой слой,https://kwork.ru/projects/3198005,
